family,setup,side,n,PF,expR,n2023,pf2023,net2023,n2024,pf2024,net2024,profile,stop_mult,rr,min_pf_23_24,stable_score
PULLBACK_LONG|06_0830|SU,PULLBACK_LONG,LONG,515,0.8699360341151383,-0.0888349514563107,262,0.9210151126318783,-13.850000000000009,253,0.8191609977324257,-31.90000000000001,P075_R175,0.75,1.75,0.8191609977324257,1.6880687647227168
PULLBACK_LONG|06_0830|SU,PULLBACK_LONG,LONG,515,0.8625283446712013,-0.09417475728155342,262,0.9058956916099765,-16.60000000000001,253,0.8191609977324257,-31.900000000000002,P090_R175,0.9,1.75,0.8191609977324257,1.6861998326838818
EXHAUST_SHORT|02_06|UP,EXHAUST_SHORT,SHORT,84,0.8994708994709,-0.06785714285714287,39,0.8095238095238093,-5.200000000000001,45,0.9829931972789113,-0.5000000000000007,P090_R175,0.9,1.75,0.8095238095238093,1.685773809523809
PULLBACK_SHORT|06_0830|SD,PULLBACK_SHORT,SHORT,458,0.8942293428274735,-0.07783842794759821,229,0.8126984126984126,-32.44999999999999,229,0.9804639804639802,-3.1999999999999886,P075_R225,0.75,2.25,0.8126984126984126,1.685454962916753
SWEEP_LONG|06_0830|SU,SWEEP_LONG,LONG,115,0.8970398970398971,-0.06956521739130438,52,1.0119047619047619,0.399999999999999,63,0.8095238095238096,-8.400000000000004,P090_R175,0.9,1.75,0.8095238095238096,1.685175983436853
PULLBACK_LONG|06_0830|SU,PULLBACK_LONG,LONG,515,0.8610567514677098,-0.10339805825242716,262,0.9045016913869366,-18.349999999999994,253,0.8173731030873882,-34.899999999999984,P090_R225,0.9,2.25,0.8173731030873882,1.6811837826990386
EXHAUST_SHORT|02_06|UP,EXHAUST_SHORT,SHORT,84,0.8380952380952383,-0.12142857142857137,39,0.8231292517006801,-5.1999999999999975,45,0.851190476190476,-4.999999999999998,P090_R225,0.9,2.25,0.8231292517006801,1.68062925170068
SWEEP_SHORT|02_06|UP,SWEEP_SHORT,SHORT,104,0.9714285714285716,-0.018750000000000003,52,1.1873015873015873,5.8999999999999995,52,0.7863945578231294,-7.85,P075_R175,0.75,1.75,0.7863945578231294,1.6798320578231292
EXHAUST_SHORT|06_0830|SU,EXHAUST_SHORT,SHORT,453,0.8432846822939698,-0.11732891832229578,199,0.8205128205128206,-26.94999999999999,254,0.861375661375661,-26.199999999999996,P075_R225,0.75,2.25,0.8205128205128206,1.6794476991000171
VWAP_LONG|06_0830|UP,VWAP_LONG,LONG,82,1.0903790087463558,0.056707317073170754,44,0.7555555555555553,-7.700000000000002,38,1.6190476190476186,12.349999999999994,P090_R175,0.9,1.75,0.7555555555555553,1.675403116531165
SWEEP_SHORT|06_0830|FLAT,SWEEP_SHORT,SHORT,76,0.841904761904762,-0.10921052631578954,39,0.8095238095238093,-5.200000000000001,37,0.8769841269841268,-3.1000000000000005,P075_R175,0.75,1.75,0.8095238095238093,1.6713001253132829
